Quels sont les autres formations disponibles ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels sont les autres Master Informatiques ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels Masters sont proposés en informatique ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Combien de Masters sont proposés ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Combien il y a de masters ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels sont les masters proposés ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Comment s'appellent les masters informatique proposés ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels sont les formations disponible ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels sont les masters ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
quel sont les formations que tu peux me proposer ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels sont les formations ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Quels formations peux tu me proposer ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D
Combien de masters différent sont proposé ?	Le département Informatique propose cinq Masters : DS, IA, TIW, SRIV et ID3D

Où je trouve la page des Masters ?	La page des Masters est accessible sur : sitePresentationMasters
Donnes moi la page des Masters	La page des Masters est accessible sur : sitePresentationMasters
Peux tu m'envoyer la page des Masters ?	La page des Masters est accessible sur : sitePresentationMasters
Quelle est la page des masters	La page des Masters est accessible sur : sitePresentationMasters
Pourrais-je avoir la page des masters ?	La page des Masters est accessible sur : sitePresentationMasters

Quel Master me conseillez-vous ?	C'est à vous de faire un choix.
Quel est le master le plus intéressant ?	C'est à vous de faire un choix.
J'hésite entre plusieurs masters	C'est à vous de faire un choix.
Il vaut mieux faire quel Master ?	C'est à vous de faire un choix.

Quel M2 est le mieux ?	Il n'y a pas de Master mieux que les autres.
Quel master est le mieux ?	Il n'y a pas de Master mieux que les autres.
Quel est le meilleur Master ?	Il n'y a pas de Master mieux que les autres.

Je voudrais faire de l'intelligence artificielle	Peut-être serez-vous intéressé par le Master IA dans ce cas.
Je voudrais faire de l'IA	Peut-être serez-vous intéressé par le Master IA dans ce cas.
J'aime l'intelligence artificielle	Peut-être serez-vous intéressé par le Master IA dans ce cas.

Ou je peux avoir des informations sur le Master IA ?	La page du Master Intelligence Artificielle est disponible sur site_InformatiqueIA.
Il y a un Master IA ?	La page du Master Intelligence Artificielle est disponible sur site_InformatiqueIA.
C'est quoi le Master IA ?	La page du Master Intelligence Artificielle est disponible sur site_InformatiqueIA.

Je n'arrives pas à choisir un Master	Si cela vous intéresse, une description de chaque Master est disponible sur : sitePresentationMasters
Je voudrais choisir un master	Si cela vous intéresse, une description de chaque Master est disponible sur : sitePresentationMasters

Est-ce que le Master Data Science est un Master d'intelligence artificielle ?	Le master n'est pas tourné vers l'Intelligence Artificielle.
Y a t-il de l'intelligence artificielle dans le Master Data Science ?	Le master n'est pas tourné vers l'Intelligence Artificielle.

Quel Master je peux faire en alternance ?	Vous devriez vous renseigner sur la page des Masters : sitePresentationMasters
Quels masters mathématiques proposent une alternance ?	Vous devriez vous renseigner sur la page des Masters : sitePresentationMasters

Y a t-il d autres master data science en France ?	Oui, il existe d'autres Master Data Science en France.
Est-ce qu'il y a d'autres master Data Science en France ?	Oui, il existe d'autres Master Data Science en France.

Comment je peux faire de la robotique ?	Vous devriez vous renseigner sur le Master Intelligence Artificielle.
Il y a un master sur la robotique ?	Vous devriez vous renseigner sur le Master Intelligence Artificielle.

Je veux faire un master en big data	Le Master Data Science est plus orienté Machine Learning que Big Data.
Je suis intéressé par le Big Data	Le Master Data Science est plus orienté Machine Learning que Big Data.

Quels sont les différences avec le master IA ?	Le master Data Science est plus orienté Machine Learning et Big Data.
Le Master IA et Data Science sont-ils différent ?	Le master Data Science est plus orienté Machine Learning et Big Data.
Quelle est la difference avec le parcours IA ?	Le master Data Science est plus orienté Machine Learning et Big Data.
