Quel est l'enseignant du cours de Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui enseigne l'UE Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui est le prof de Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui donne le cours de Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Quel est l'enseignant de l'UE de Big Data ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui enseigne le cours de Big Data ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui fait l'UE de Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui fait le cours de Big Data ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Quel est le professeur de Big Data ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA
Qui est le responsable du cours de Big Data Analytics ?	L'enseignant de Big Data Analytics est Pr. profBDA, et l'enseignant de TP Pr. profTPBDA

Est ce que le master propose un enseignement en Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
Il y a du Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
Fait on du Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
Il y a des cours de Big Data ?	Oui, une UE de Big Data Analytics est au programme
Y a-t-il un cours de Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
On fait du Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
Il y a du Big Data Analytics dans ce master ?	Oui, une UE de Big Data Analytics est au programme
Est ce qu'il y a des cours de Big Data Analytics ?	Oui, une UE de Big Data Analytics est au programme
Est-ce qu'on traite des données massives ?	Oui, une UE de Big Data Analytics est au programme

Qu'est ce que le Big Data Analytics ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant
C'est quoi le Big Data ?	Je vous invite à faire une recherche Wikipedia ou à consulter le site de l'enseignant

Que faut il lire en Big Data Analytics ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il y a des livres à lire en Big Data ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Le cours de Big Data Analytics est-il en ligne ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander
Il faut des connaissances préalables en Big Data ?	Vous devriez prendre contact avec l'enseignant de l'UE et lui demander

Il y a des TP de Big Data ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.
Quels sont les TP de Big Data Analytics ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.
Il y a des Travaux Pratiques de Big Data ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.
Quels sont les Travaux Pratiques de Big Data Analytics ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.
Il y a des exercices pratiques de Big Data ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.
Quels sont les exercices pratiques de Big Data Analytics ?	Quatre travaux pratiques sont proposés dans l'UE Big Data Analytics. TP1 : Requêtage SQL, TP2 : Introduction à Spark, TP3 : Utilisation plus poussée de Spark, TP4 : Introduction à Storm.

C'est quoi le programme de Big Data Analytics ?	Dans l'UE Big Data Analytics, vous verrez les 4 V du Big Data : Volume (La taille des données), Velocity (L'arrivée en continue des données), Variety (Plusieurs sources/types de données), Veracity (L'incertitude sur les données).
On fait quoi en Big Data Analytics ?	Dans l'UE Big Data Analytics, vous verrez les 4 V du Big Data : Volume (La taille des données), Velocity (L'arrivée en continue des données), Variety (Plusieurs sources/types de données), Veracity (L'incertitude sur les données).
Quel est le contenu du cours de Big Data Analytics ?	Dans l'UE Big Data Analytics, vous verrez les 4 V du Big Data : Volume (La taille des données), Velocity (L'arrivée en continue des données), Variety (Plusieurs sources/types de données), Veracity (L'incertitude sur les données).
Quels sont les thèmes abordés en Big Data Analytics ?	Dans l'UE Big Data Analytics, vous verrez les 4 V du Big Data : Volume (La taille des données), Velocity (L'arrivée en continue des données), Variety (Plusieurs sources/types de données), Veracity (L'incertitude sur les données).
Vous faites quoi en Big Data Analytics ?	Dans l'UE Big Data Analytics, vous verrez les 4 V du Big Data : Volume (La taille des données), Velocity (L'arrivée en continue des données), Variety (Plusieurs sources/types de données), Veracity (L'incertitude sur les données).
