Quel est l'enseignant du cours de Machine Learning ?	L'enseignant de Machine Learning est Pr. profML
Quel est l'enseignant de l'UE de Machine Learning ?	L'enseignant de Machine Learning est Pr. profML
Qui enseigne l'UE machine learning ?	L'enseignant de Machine Learning est Pr. profML
Qui enseigne le cours de machine learning ?	L'enseignant de Machine Learning est Pr. profML
Qui fait l'UE de machine learning ?	L'enseignant de Machine Learning est Pr. profML
Qui fait le cours de machine learning ?	L'enseignant de Machine Learning est Pr. profML
Qui est le prof de Machine Learning ?	L'enseignant de Machine Learning est Pr. profML
Qui donne le cours de machine learning ?	L'enseignant de Machine Learning est Pr. profML
Quel est le professeur de Machine Learning ?	L'enseignant de Machine Learning est Pr. profML
Qui est le responsable du cours de Machine Learning ?	L'enseignant de Machine Learning est Pr. profML

Est ce que le master propose un enseignement en Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Il y a du Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Fait on du Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Il y a des cours de Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Y a-t-il un cours de Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
On fait du Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Il y a du Machine Learning dans ce master ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Est ce qu'il y a des cours de Machine Learning ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)

Il y a des cours en apprentissage statistique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Y a-t-il un cours en apprentissage statistique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
On fait de l'apprentissage statistique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Il y a de l'apprentissage statistique dans ce master ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Est ce qu'il y a des cours en apprentissage statistique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)

Il y a des cours en apprentissage numérique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
Y a-t-il un cours en apprentissage numérique ?	Oui, il a deux cours d'apprentissage statistique au programme : Machine Learning (ML) et Probabilistic Graphical Models (PGM)
