Quel est l'enseignant du cours de Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui enseigne l'UE Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui est le prof de Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui donne le cours de Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Quel est l'enseignant du cours de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui enseigne l'UE PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui est le prof de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui donne le cours de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Quel est l'enseignant de l'UE de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui enseigne le cours de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui fait l'UE de Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui fait le cours de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Quel est le professeur de PGM ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM
Qui est le responsable du cours de Modèles graphiques probabilistes ?	L'enseignant de Modèles graphiques probabilistes est Pr. profPGM

Y a-t-il des cours de PGM ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Est ce que le master propose un enseignement en Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Est-ce qu'on fait des Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Il y a des Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Fait on des Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Il y a des cours de Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Il y a des cours de PGM ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Y a-t-il des Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
Y a-t-il un cours de Modèles graphiques probabilistes ?	Oui, une UE de Modèles graphiques probabilistes est au programme
