Peut-on adhérer à une association ?	Oui, il existe différentes associations sur le campus.
Peut-on s'adhérer à un club ?	Oui, il existe différentes associations sur le campus.
On peut s'inscrire à des associations ?	Oui, il existe différentes associations sur le campus.
Peut-on s'inscrire à des clubs ?	Oui, il existe différentes associations sur le campus.

Y a-t-il eu des redoublants les années passées ?	Il y a eu un seul redoublant.
Combien d'étudiants ont raté l'an dernier ?	Il y a eu un seul redoublant.

Un forum entreprise ?	Oui, il y a un forum entreprise Lyon 1.
Est-ce qu'il y a des forums entreprise pour le Master ?	Oui, il y a un forum entreprise Lyon 1.

Avons-nous cours les samedis ?	Non, mais la BU est ouverte si vous souhaitez travailler.
Avons-nous cours le week-end ?	Non, mais la BU est ouverte si vous souhaitez travailler.
Y a t'il des cours le week-end ?	Non, mais la BU est ouverte si vous souhaitez travailler.

Où trouver l'emploi du temps Data Science ?	Vous pouvez accéder à l'emploi du temps sur le site du Master.
J'ai besoin du planning de l'année courante ou passée	Vous pouvez accéder à l'emploi du temps sur le site du Master.

Est-ce que c'est difficile ?	Non, mais il faut travailler assidument.
Les cours sont durs ?	Non, mais il faut travailler assidument.
Le master est-il difficile à suivre ? 	Non, mais il faut travailler assidument.
Les cours sont-ils difficile à suivre ?	Non, mais il faut travailler assidument.

Je suis intéressé	Vous pouvez déposer une candidature si vous le souhaitez.
J'aimerais faire votre master	Vous pouvez déposer une candidature si vous le souhaitez.
Je voudrais aller en data science	Vous pouvez déposer une candidature si vous le souhaitez.
Je veux faire ce master	Vous pouvez déposer une candidature si vous le souhaitez.
Votre master m'intéresse	Vous pouvez déposer une candidature si vous le souhaitez.
Je veux faire le M2 Data Science	Vous pouvez déposer une candidature si vous le souhaitez.

Le niveau est-il élèvé ?	Le niveau du Master est plutôt bon.
Quel est le niveau général ?	Le niveau du Master est plutôt bon.
Quel est le niveau du master ?	Le niveau du Master est plutôt bon.

Je n'ai jamais programmé	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.
Je suis nul en math	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.
Je n'aime pas les maths	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.
Je ne veux pas faire de maths	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.
Je suis pas très fort en programmation	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.
Je ne suis pas très bon en Token_parcours	C'est dommage, vous en aurez besoin si vous souhaitez faire ce Master.

On peut faire du sport ?	Vous trouverez des equipements pour faire du sport sur le campus.
Il y a des associations sportive ?	Vous trouverez des equipements pour faire du sport sur le campus.

Est-il possible de redoubler le Master 2 ?	Non.
Est-ce qu'on peut redoubler ?	Non.

Est-ce que Lyon est une ville étudiante ?	Oui, elle a été élu meilleure ville étudiante 2018 !
Lyon est une ville étudiante ?	Oui, elle a été élu meilleure ville étudiante 2018 !

Y-aura-t-il une cérémonie de remise des diplômes ?	Oui, une cérémonie sera organisée pour les diplômés !
Organisez-vous une cérémonie de remise des diplômes ?	Oui, une cérémonie sera organisée pour les diplômés !

Quel est la réputation du master ?	C'est à vous de faire sa réputation.
Le master a-t-il une bonne réputation ?	C'est à vous de faire sa réputation.

Puis-je avoir le contact d'un ancien élève ?	Vous pouvez pour cela contacter le responsable du Master.
Comment contacter un ancien élève ?	Vous pouvez pour cela contacter le responsable du Master.

Est-ce que le rythme est intensif ?	Oui, le rythme d'enseignement est assez soutenu.
Le rythme est-il soutenu ?	Oui, le rythme d'enseignement est assez soutenu.

Quel est le site de la faculté d'informatique ?	Vous trouverez le site de la faculté d'informatique en suivant ce lien : siteFaculteInfo
Donnez moi le site de la faculté d'informatique	Vous trouverez le site de la faculté d'informatique en suivant ce lien : siteFaculteInfo

Il faut avoir un compte Github ?	Il est conseillé d'avoir un compte Github.
Est-ce qu'il faut un compte Github ?	Il est conseillé d'avoir un compte Github.

Peut-on trouver à manger près des cours ?	Oui, il y a des restaurants universitaires à proximité.
Existe-t-il des cafétérias à proximité des cours ?	Oui, il y a des restaurants universitaires à proximité.
Est-ce qu'il y a un restaurant universitaire juste à côté ?	Oui, il y a des restaurants universitaires à proximité

Y a-t-il des abandons durant l'année ?	C'est assez rare.
Des élèves ont-ils abandonné ?	C'est assez rare.

Dans quel langage as tu été programmé ?	Je suis programmé avec le langage Python.
Avec quel langage est tu codé ?	Je suis programmé avec le langage Python.

Comment accéder au campus ?	Vous pouvez accéder au campus par les lignes T1 et T4 du tramway.
Quels sont les accès du campus ?	Vous pouvez accéder au campus par les lignes T1 et T4 du tramway.

Vous acceptez combien d'élèves en tout ?	On accepte environ 30 élèves pour le master Data Science.
Vous acceptez combien d'étudiants en tout ?	On accepte environ 30 élèves pour le master Data Science.
