Quel est le langage le plus utilisé dans ce Master ?	Vous aurez principalement besoin des langages Python, R et Scala.
Il faut connaitre quel langage ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels sont les langages qu'on va utiliser ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels sont les langages de programmation utilisés ?	Vous aurez principalement besoin des langages Python, R et Scala.
On va apprendre quel langage ?	Vous aurez principalement besoin des langages Python, R et Scala.
On travaillera avec quels langage principalement ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels sont les langages de programmation nécessaires ?	Vous aurez principalement besoin des langages Python, R et Scala.
On programme en quel langage ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels sont les langages de programmation à connaitre ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels langages de programmation sont à apprendre ?	Vous aurez principalement besoin des langages Python, R et Scala.
Je dois apprendre quels langages	Vous aurez principalement besoin des langages Python, R et Scala.
Quels langages sont nécessaires ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels langages me conseilles-tu ?	Vous aurez principalement besoin des langages Python, R et Scala.
Il faut quelle expérience en programmation ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quelle expérience en programmation ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels langages ?	Vous aurez principalement besoin des langages Python, R et Scala.
Quels langages de programmation faut-il connaître ?	Vous aurez principalement besoin des langages Python, R et Scala.
Il faut apprendre un langage en particulier ?	Vous aurez principalement besoin des langages Python, R et Scala.
Y a t'il un niveau requis en programmation ?	Vous aurez principalement besoin des langages Python, R et Scala.
Il y a de la programmation ?	Vous aurez principalement besoin des langages Python, R et Scala.

Comment s'entrainer en Python ?	Il existe de très bons MOOC pour apprendre.
Je suis débutant en Python	Il existe de très bons MOOC pour apprendre.
Je ne sais pas écrire en Python	Il existe de très bons MOOC pour apprendre.
Je n'ai jamais fait de Python	Il existe de très bons MOOC pour apprendre.
J'aimerais apprendre le Python	Il existe de très bons MOOC pour apprendre.
Comment je peux apprendre le Python ?	Il existe de très bons MOOC pour apprendre.
Dis moi comment apprendre le python	Il existe de très bons MOOC pour apprendre.
Je suis débutant en R	Il existe de très bons MOOC pour apprendre.
Je ne sais pas écrire en R	Il existe de très bons MOOC pour apprendre.
Je n'ai jamais fait de R	Il existe de très bons MOOC pour apprendre.
J'aimerais apprendre le R	Il existe de très bons MOOC pour apprendre.
Comment je peux apprendre le R ?	Il existe de très bons MOOC pour apprendre.
Dis moi comment apprendre le R	Il existe de très bons MOOC pour apprendre.
Je suis débutant en Scala	Il existe de très bons MOOC pour apprendre.
Je ne sais pas écrire en Scala	Il existe de très bons MOOC pour apprendre.
Je n'ai jamais fait de Scala	Il existe de très bons MOOC pour apprendre.
J'aimerais apprendre le Scala	Il existe de très bons MOOC pour apprendre.
Comment je peux apprendre le Scala ?	Il existe de très bons MOOC pour apprendre.
Dis moi comment apprendre le Scala	Il existe de très bons MOOC pour apprendre.

Il faut connaitre le Python ?	Il est préférable de connaitre R et Python.
Il faut connaitre le R ?	Il est préférable de connaitre R et Python.
On doit apprendre le scala ?	Il est préférable de connaitre R et Python.
C'est obligatoire de connaitre le Python ?	Il est préférable de connaitre R et Python.
Est-ce qu'il faut savoir programmer en Python ?	Il est préférable de connaitre R et Python.
Il faut quel niveau en R et python ?	Il est préférable de connaitre R et Python.
Il faut quel niveau en R ?	Il est préférable de connaitre R et Python.
Il faut quel niveau en python ?	Il est préférable de connaitre R et Python.
Il faut avoir fait du R et du python ?	Il est préférable de connaitre R et Python.
Il faut avoir fait du python avant ?	Il est préférable de connaitre R et Python.

On va programmer en Python ?	Oui, de nombreux TP sont en Python.
Est-ce qu'on programme en Python ?	Oui, de nombreux TP sont en Python.
Y a-t-il du Python ?	Oui, de nombreux TP sont en Python.
Il faut coder en Python ?	Oui, de nombreux TP sont en Python.
Il y a des cours de Python ?	Oui, de nombreux TP sont en Python.
Il y a du Python ?	Oui, de nombreux TP sont en Python.
Il y a des TP en Python ?	Oui, de nombreux TP sont en Python.

Je sais déjà programmer en Scala	Excellent, cela vous sera utile !
Je sais déjà programmer en Python	Excellent, cela vous sera utile !
Je sais déjà programmer en R	Excellent, cela vous sera utile !
Je sais écrire en Tex	Excellent, cela vous sera utile !
Je sais écrire en LaTex	Excellent, cela vous sera utile !

Il faut savoir utiliser LaTex ?	L'utilisation de LaTex n'est pas obligatoire.
Il faudra utiliser LaTex ?	L'utilisation de LaTex n'est pas obligatoire.
Il faut savoir écrire en LaTex ?	L'utilisation de LaTex n'est pas obligatoire.
On devra écrire en LaTex ?	L'utilisation de LaTex n'est pas obligatoire.

Je sais programmer en UNK_Token	L'essentiel des TP ne se fera pas dans ce langage.
Il y a des TP en UNK_Token ?	L'essentiel des TP ne se fera pas dans ce langage.
On peut programmer en UNK_Token ?	L'essentiel des TP ne se fera pas dans ce langage.
Est-ce que on programme en UNK_Token ?	L'essentiel des TP ne se fera pas dans ce langage.
Il faut coder en UNK_Token ?	L'essentiel des TP ne se fera pas dans ce langage.

Il est possible de travailler en R ?	Plusieurs TP sont en R.
On peut programmer en R ?	Plusieurs TP sont en R.
On fait du R ?	Plusieurs TP sont en R.
Est-ce que on programme en R ?	Plusieurs TP sont en R.
Y a-t-il du R ?	Plusieurs TP sont en R.
Il faut coder en R ?	Plusieurs TP sont en R.
Il y a des TP en R ?	Plusieurs TP sont en R.

Il est possible de travailler en Scala ?	Plusieurs TP sont en Scala.
On peut programmer en Scala ?	Plusieurs TP sont en Scala.
On fait du Scala ?	Plusieurs TP sont en Scala.
Est-ce que on programme en Scala ?	Plusieurs TP sont en Scala.
Y a-t-il du Scala ?	Plusieurs TP sont en Scala.
Il faut coder en Scala ?	Plusieurs TP sont en Scala.
Il y a des TP en Scala ?	Plusieurs TP sont en Scala.

Il est possible de travailler en SQL ?	Le SQL est souvent utilisé.
On peut programmer en SQL ?	Le SQL est souvent utilisé.
On fait du SQL ?	Le SQL est souvent utilisé.
Est-ce que on programme en SQL ?	Le SQL est souvent utilisé.
Y a-t-il du SQL ?	Le SQL est souvent utilisé.
Il faut coder en SQL ?	Le SQL est souvent utilisé.
Il y a des TP en SQL ?	Le SQL est souvent utilisé.

Il y a plus de R ou de Python ?	Vous ferez plus de Python.
On fait plus de Python ou de R ?	Vous ferez plus de Python.

Est-ce qu'on fait du Spark ?	Oui, cela fait partie des TP de Big Data Analytics.
Est-ce qu'on fait du Hadoop ?	Oui, cela fait partie des TP de Big Data Analytics.

Les rapports devront être écrits en LaTex ?	L'utilisation de LaTex n'est pas obligatoire.
Pour les rapports il faudra utiliser LaTex ?	L'utilisation de LaTex n'est pas obligatoire.

Il y a d'autres langages que du Python ?	Certains TP devront être fait en R, en Scala ou en SAS.
On verra d'autres langages que Python ?	Certains TP devront être fait en R, en Scala ou en SAS.

Dans quelle UE fait-on du Scala ?	Le Scala sera utilisé en Big Data Analytics.
Fait-on du Scala ?	Le Scala sera utilisé en Big Data Analytics.

C'est quoi SAS ?	SAS est un logiciel permettant de faire des analyses statistiques.
Que signifie SAS ?	SAS est un logiciel permettant de faire des analyses statistiques.

Les tps sont en R ou Python ?	Les TPs sont le plus souvent en Python.
Les tps sont en Scala ou Python ?	Les TPs sont le plus souvent en Python.
Est-ce que les tps sont en R ou Python ?	Les TPs sont le plus souvent en Python.
Est-ce que les tps sont en Scala ou Python ?	Les TPs sont le plus souvent en Python.
