Est-il nécessaire d'avoir un ordinateur ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
Faut il avoir son propre PC ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
On doit avoir un ordinateur personnel ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
Il faut avoir un ordinateur ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
Il faut un ordinateur personnel ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
A-t-on besoin d'avoir son propre ordinateur pour ce parcours ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.
Il faut absolument avoir un ordi ?	Ce n'est pas nécessaire, mais il est recommandé d'en avoir un.

Est-il nécessaire d'avoir un bon ordinateur ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Il faut un ordinateur puissant ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Quelle puissance doit avoir mon ordinateur ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Est-ce que un vieux PC ca va ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Je n'ai qu'un vieux PC	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Quelle puissance doit avoir mon ordinateur ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Mon ordinateur doit-il être récent ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.
Quel ordinateur prendre ?	Il est conseillé d'avoir un ordinateur récent, mais un modèle plus ancien pourra convenir.

Il faut Linux sur son PC ?	Vous pouvez utiliser le système d'exploitation de votre choix.
C'est nécessaire d'avoir Linux ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Il faut un ordinateur Linux ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Il faut un windows ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Je dois avoir un système Linux ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Est-ce qu'il me faut une machine Linux ?	Vous pouvez utiliser le système d'exploitation de votre choix.
On peut avoir Windows sur son pc pour travailler ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Je peux travailler avec un pc sous windows ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Avec quel système d'exploitation ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Quel système d'exploitation ?	Vous pouvez utiliser le système d'exploitation de votre choix.
On peut avoir un mac pour travailler ?	Vous pouvez utiliser le système d'exploitation de votre choix.
Je peux travailler avec un mac ?	Vous pouvez utiliser le système d'exploitation de votre choix.
On peut travailler sous Linux ?	Vous pouvez utiliser le système d'exploitation de votre choix.

Aurons nous des ordinateurs pour les TP ?	Des ordinateurs sont à votre disposition dans les salles de TP.
Des ordinateurs sont à disposition pour les TP ?	Des ordinateurs sont à votre disposition dans les salles de TP.

Quels sont les OS les plus utilisés par les étudiants ?	Windows et Linux sont les OS les plus courants auprès des étudiants.
Les étudiants utilisent quel système d'exploitation ?	Windows et Linux sont les OS les plus courants auprès des étudiants.

Vous me conseillez quel système d'exploitation ?	Il est conseillé d'utiliser Windows ou Linux.
Quel OS choisir ?	Il est conseillé d'utiliser Windows ou Linux.

Est-ce que l'université fournit des ordinateurs portables ?	Je suis désolé, je n'ai pas la réponse à cette question.
L'université fournit elle des ordinateurs portables ?	Je suis désolé, je n'ai pas la réponse à cette question.
