Il y a des projets à rendre ?	Plusieurs projets sont à rendre.
Y a-t-il des projets ?	Plusieurs projets sont à rendre.
J'aimerais savoir si il y a des projets durant l'année ?	Plusieurs projets sont à rendre.
Il y a qu'un seul projet ?	Plusieurs projets sont à rendre.
Il y a plusieurs projets à rendre ?	Plusieurs projets sont à rendre.
Il y a des projets en cours d'année ?	Plusieurs projets sont à rendre.

Faut-il faire un projet de fin d'étude ?	Il y a plusieurs projets à réaliser et à présenter en fin d'études.
Faut-il faire un PFE ?	Il y a plusieurs projets à réaliser et à présenter en fin d'études.
On doit faire un projet de fin d'études ?	Il y a plusieurs projets à réaliser et à présenter en fin d'études.

Quels types de projets sont à faire ?	Ce sont des mini-projets à rendre dans pratiquement chaque UE.
Quel genre de projets sont à rendre ?	Ce sont des mini-projets à rendre dans pratiquement chaque UE.

Est-ce que les projets sont transversaux entre UE ?	Non, les projets concernent chacun une seule UE.
Est-ce que les projets concernent plusieurs UE ?	Non, les projets concernent chacun une seule UE.

Est-ce que c'est un gros projet à rendre ?	Non, ce sont plusieurs mini-projets à rendre.
Il faut faire un seul gros projet ?	Non, ce sont plusieurs mini-projets à rendre.

Combien de projets il y a ?	Il y a un projet à faire dans la plupart des UE.
combien de projets sont à rendre ?	Il y a un projet à faire dans la plupart des UE.

Le projet est-il encadré par des chercheurs du laboratoire ?	Vous serez encadré par les enseignants chercheurs.
Par qui sont encadrés les projets ?	Vous serez encadré par les enseignants chercheurs.

On peut développer un projet perso ?	Bien sûr ! Mais prennez garde à consacrer suffisament de temps aux enseignements.
Je peux faire mon propre projet ?	Bien sûr ! Mais prennez garde à consacrer suffisament de temps aux enseignements.

Est-ce que les projets sont imposés ?	La thématique de chaque projet est imposée, mais la démarche est libre.
Les sujets des projets sont-ils imposés ?	La thématique de chaque projet est imposée, mais la démarche est libre.

Quelles sont les matières où il y a des projets ?	Vous aurez des projets dans les matières suivante : listeProjets
Il y a des projets dans quels cours ?	Vous aurez des projets dans les matières suivante : listeProjets
